date,mrr,arr,revenue,costs,gross_margin_pct,new_customers,churned_customers,active_customers,churn_rate,arpu,cac,ltv,ltv_cac_ratio,leads,mql,sql,dau,mau,nps,support_tickets,expansion_mrr,contraction_mrr,reactivation_mrr,gross_revenue_retention_pct,net_revenue_retention_pct,enterprise_customers,mid_market_customers,smb_customers,pipeline_coverage,win_rate_pct,support_sla_pct,onboarding_days,focus_segment,primary_channel,product_launch,top_new_logos,top_expansion_accounts,churned_accounts,customer_story,risk_signal
2024-02,896208,10754496,896208,207024,76.9,25,11,695,0.016,1289.51,762,7322,9.61,1251,425,149,16504,40758,62,220,17782,3696,1865,95.4,113.0,113,222,360,2.69,26.9,97.1,24,"Saude, energia e servicos financeiros",ABM + customer marketing,Copiloto de insights e automacao de QBR,Delta Facilities | Ribeira Foods | Padaria Lisboa,Instituto Ponte | UrbanHub Imoveis | Ferrum Autopecas,Clinica Jardim Sul | Casa do Pao,Ferrum Autopecas ampliou para 14 unidades e puxou parte do expansion MRR do mes.,Parte do crescimento dependeu de expansao em clientes grandes.
2024-03,925816,11109792,925816,212012,77.1,26,11,710,0.015,1303.97,755,7446,9.86,1260,429,151,16920,41734,63,223,18720,3790,1938,95.4,113.1,117,228,365,2.72,26.9,97.3,23,"Saude, energia e servicos financeiros",ABM + customer marketing,Copiloto de insights e automacao de QBR,Padaria Lisboa | MoveOn Coworking | Jardim Botanico Hotel,UrbanHub Imoveis | Ferrum Autopecas | ViaMobi,Mercadinho Central | Restaurante Brasa,ViaMobi ampliou para 16 unidades e puxou parte do expansion MRR do mes.,Parte do crescimento dependeu de expansao em clientes grandes.
2024-04,954571,11454852,954571,215733,77.4,25,11,724,0.015,1318.47,748,7571,10.12,1268,433,153,17315,42655,64,225,19687,3892,2016,95.5,113.2,121,233,370,2.75,27.0,97.5,22,"Saude, energia e servicos financeiros",ABM + customer marketing,Copiloto de insights e automacao de QBR,Jardim Botanico Hotel | Otica Central | Farmacia Uniao,Ferrum Autopecas | ViaMobi | Solis Solar,Papelaria Modelo | Boutique Solar,Solis Solar ampliou para 18 unidades e puxou parte do expansion MRR do mes.,Parte do crescimento dependeu de expansao em clientes grandes.
2024-05,984916,11818992,984916,220621,77.6,26,11,739,0.015,1332.77,741,7696,10.39,1278,438,155,17737,43639,65,228,20591,3988,2094,95.5,113.4,124,239,376,2.78,27.1,97.8,22,"Saude, energia e servicos financeiros",ABM + customer marketing,Copiloto de insights e automacao de QBR,Farmacia Uniao | Construtora Venturo | Portal Cursos,ViaMobi | Solis Solar | Rede Maralto,Odonto Prime | Espaco Viver,Rede Maralto ampliou para 20 unidades e puxou parte do expansion MRR do mes.,Parte do crescimento dependeu de expansao em clientes grandes.
2024-06,1014014,12168168,1014014,225111,77.8,25,11,753,0.014,1346.63,732,7820,10.68,1290,444,158,18137,44567,66,230,21456,4090,2175,95.6,113.5,128,244,381,2.8,27.2,98.0,21,"Saude, energia e servicos financeiros",ABM + customer marketing,Copiloto de insights e automacao de QBR,Portal Cursos | EcoTrack | Fio Nobre Textil,Solis Solar | Rede Maralto | Colegio Horizonte,Bazar Paulista | Casa Norte,Colegio Horizonte ampliou para 22 unidades e puxou parte do expansion MRR do mes.,Parte do crescimento dependeu de expansao em clientes grandes.
2024-07,1044362,12532344,1044362,229760,78.0,26,11,768,0.014,1359.85,722,7940,11.0,1305,450,160,18563,45559,67,232,22202,4185,2255,95.7,113.7,132,250,386,2.83,27.3,98.2,20,Expansao enterprise e cross-sell,Land-and-expand enterprise,Executive cockpit e score de renovacao,Fio Nobre Textil | Sabor e Mesa | Hospital Santa Aurora,Rede Maralto | Colegio Horizonte | Hospital Santa Aurora,Rota Sul Transportes | Nova Midia,Hospital Santa Aurora ampliou para 6 unidades e puxou parte do expansion MRR do mes.,Renovacoes de Q4 exigem monitorar uso nas contas mais novas.
2024-08,1074465,12893580,1074465,234233,78.2,26,11,783,0.014,1372.24,711,8057,11.33,1324,458,163,18993,46555,68,234,22882,4284,2338,95.7,113.9,136,255,392,2.85,27.4,98.4,19,Expansao enterprise e cross-sell,Land-and-expand enterprise,Executive cockpit e score de renovacao,Hospital Santa Aurora | Grupo Prisma Varejo | AtlasPay,Colegio Horizonte | Hospital Santa Aurora | Grupo Prisma Varejo,Cafe do Centro | Estacao Fit,Grupo Prisma Varejo ampliou para 8 unidades e puxou parte do expansion MRR do mes.,Renovacoes de Q4 exigem monitorar uso nas contas mais novas.
2024-09,1104190,13250280,1104190,238505,78.4,26,11,798,0.014,1383.7,698,8168,11.7,1348,468,167,19425,47555,69,236,23475,4380,2422,95.8,114.2,140,261,397,2.86,27.5,98.6,18,Expansao enterprise e cross-sell,Land-and-expand enterprise,Executive cockpit e score de renovacao,AtlasPay | VerdeLog | Orbe Educacao,Hospital Santa Aurora | Grupo Prisma Varejo | AtlasPay,Serra Azul Resorts | VivaPet,AtlasPay ampliou para 10 unidades e puxou parte do expansion MRR do mes.,Renovacoes de Q4 exigem monitorar uso nas contas mais novas.
2024-10,1132048,13584576,1132048,243390,78.5,25,11,812,0.014,1394.15,684,8275,12.1,1376,479,172,19836,48500,70,239,24008,4473,2506,95.9,114.5,143,266,403,2.88,27.6,98.8,18,Expansao enterprise e cross-sell,Land-and-expand enterprise,Executive cockpit e score de renovacao,Orbe Educacao | Central Farma | Aurora Energia,Grupo Prisma Varejo | AtlasPay | VerdeLog,Studio Forma | Mercato Gourmet,VerdeLog ampliou para 12 unidades e puxou parte do expansion MRR do mes.,Renovacoes de Q4 exigem monitorar uso nas contas mais novas.
2024-11,1160770,13929240,1160770,247244,78.7,26,11,827,0.013,1403.59,668,8376,12.54,1407,491,176,20273,49508,71,241,24732,4680,2586,96.0,114.8,147,272,408,2.89,27.7,99.0,17,Expansao enterprise e cross-sell,Land-and-expand enterprise,Executive cockpit e score de renovacao,Aurora Energia | Porto Vivo Hoteis | Nexa Saude,AtlasPay | VerdeLog | Orbe Educacao,Ribeira Foods | Padaria Lisboa,Orbe Educacao ampliou para 14 unidades e puxou parte do expansion MRR do mes.,Renovacoes de Q4 exigem monitorar uso nas contas mais novas.
2024-12,1188978,14267736,1188978,250874,78.9,26,11,842,0.013,1412.09,650,8473,13.04,1442,505,182,20713,50520,72,244,25537,4905,2670,96.1,115.1,152,278,412,2.9,27.8,99.2,16,Expansao enterprise e cross-sell,Land-and-expand enterprise,Executive cockpit e score de renovacao,Nexa Saude | Lumen Telecom | AgroVista,VerdeLog | Orbe Educacao | Central Farma,Jardim Botanico Hotel | Otica Central,Central Farma ampliou para 16 unidades e puxou parte do expansion MRR do mes.,Renovacoes de Q4 exigem monitorar uso nas contas mais novas.
